location_no,property_jibun_juso,property_doro_juso,zipcode,x_coordinate,y_coordinate,formated_price,jibun_juso
66,강남구 논현동 252,서울 강남구 학동로46길 32,6101,127.038773139566,37.5140424359451,56.00,서울특별시강남구 논현동 252
67,강남구 논현동 258,서울 강남구 언주로122길 25,6101,127.038369354075,37.5125350078397,12.80,서울특별시강남구 논현동 258
68,강남구 논현동 259-16,서울 강남구 언주로122길 21,6101,127.037630176611,37.5122833248704,5.45,서울특별시강남구 논현동 259-16
69,강남구 논현동 267-23,서울 강남구 봉은사로51길 36,6100,127.042350688146,37.5123828193652,18.20,서울특별시강남구 논현동 267-23
70,강남구 논현동 269-1,서울 강남구 봉은사로49길 26,6103,127.04178066295,37.5116440187012,4.40,서울특별시강남구 논현동 269-1
71,강남구 논현동 270-12,서울 강남구 봉은사로47길 24,6103,127.040906627058,37.5113328474361,17.00,서울특별시강남구 논현동 270-12
72,강남구 논현동 272-17,서울 강남구 언주로114길 29-9,6103,127.039667356879,37.5109810675047,5.70,서울특별시강남구 논현동 272-17
73,강남구 논현동 274-4,서울 강남구 언주로114길 15-13,6102,127.038567547284,37.5108290718781,8.30,서울특별시강남구 논현동 274-4
74,강남구 논현동 275,서울 강남구 언주로116길 6,6102,127.037651943453,37.5103565201441,16.80,서울특별시강남구 논현동 275
75,강남구 논현동 276-1,서울 강남구 언주로 604,6102,127.038954823034,37.5095251011602,28.00,서울특별시강남구 논현동 276-1
76,강남구 논현동 38-13,서울 강남구 학동로25길 17,6046,127.028458050822,37.5147720312037,4.00,서울특별시강남구 논현동 38-13
77,강남구 논현동 40,서울 강남구 논현로131길 44,6045,127.026539490643,37.5142572838449,50.50,서울특별시강남구 논현동 40
78,강남구 논현동 45,서울 강남구 강남대로136길 34,6044,127.023115269311,37.5134973760273,17.50,서울특별시강남구 논현동 45
79,강남구 논현동 58-2,서울 강남구 학동로 165,6046,127.028885611445,37.513885429675,3.75,서울특별시강남구 논현동 58-2
80,강남구 논현동 6-21,서울 강남구 도산대로 158,6040,127.026051519479,37.5184593128673,3.00,서울특별시강남구 논현동 6-21
81,강남구 논현동 96,서울 강남구 도산대로46길 11,6054,127.036683922315,37.5213126687985,1.82,서울특별시강남구 논현동 96
82,강남구 대치동 1014-3,서울 강남구 도곡로78길 22,6279,127.058401866149,37.4963870034067,29.95,서울특별시강남구 대치동 1014-3
83,강남구 대치동 1025,서울 강남구 도곡로 404,6278,127.053993178396,37.4962455702665,31.00,서울특별시강남구 대치동 1025
84,강남구 대치동 1027,서울 강남구 삼성로51길 35,6280,127.058003438015,37.4942977651239,35.10,서울특별시강남구 대치동 1027
85,강남구 대치동 1029,서울 강남구 삼성로51길 25,6280,127.060351166529,37.4957698252615,38.00,서울특별시강남구 대치동 1029
86,강남구 대치동 1030,서울 강남구 도곡로93길 23,6190,127.064072037372,37.5015706159502,25.65,서울특별시강남구 대치동 1030
